,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Largest city,Life expectancy,Maternal mortality ratio,Minimum wage,Official language,Out of pocket health expenditure,Physicians per thousand,Population,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,country,latitude,longitude,Continent
136,38145288940.0,104.4,34.6,17.2,Ciudad del Este,74.1,129.0,1.55,Spanish,36.5,1.35,7044636.0,72.1,10.0,35.0,4.81,"4,359,150",Paraguay,-23.442503,-58.443832,America
137,226848050820.0,106.9,70.7,11.1,Lima,76.5,88.0,1.28,Spanish,30.9,1.27,32510453.0,77.6,14.3,36.8,3.31,"25,390,339",Peru,-9.189967,-75.015152,America
138,376795508680.0,107.5,35.5,22.5,Manila,71.1,121.0,1.12,English,53.5,0.6,108116615.0,59.6,14.0,43.1,2.15,"50,975,903",Philippines,12.879721,121.774017,Asia
139,592164400688.0,100.0,67.8,3.8,Warsaw,77.6,2.0,2.93,Polish,23.2,2.38,37970874.0,56.7,17.4,40.8,3.47,"22,796,574",Poland,51.919438,19.145136,Europa
140,237686075635.0,106.2,63.9,3.1,Lisbon,81.3,8.0,3.78,Portuguese,27.7,5.12,10269417.0,58.8,22.8,39.8,6.33,"6,753,579",Portugal,39.399872,-8.224454,Europa
141,183466208791.0,103.8,17.9,5.8,Doha,80.1,9.0,,Arabic,6.2,2.49,2832067.0,86.8,14.7,11.3,0.09,"2,809,071",Qatar,25.354826,51.183884,Asia
142,250077444017.0,85.2,49.4,6.1,Bucharest,75.4,19.0,2.25,Romanian,21.3,2.98,19356544.0,54.7,14.6,20.0,3.98,"10,468,793",Romania,45.943161,24.96676,Europa
143,1699876578871.0,102.6,81.9,6.1,Moscow,72.7,17.0,0.53,Russian,36.4,4.01,144373535.0,61.8,11.4,46.2,4.59,"107,683,889",Russia,61.52401,105.318756,Asia
144,10122472590.0,133.0,6.7,27.0,Kigali,68.7,248.0,,Swahili,26.0,0.13,12626950.0,83.7,14.3,33.2,1.03,"2,186,104",Rwanda,-1.940278,29.873888,Asia
145,1050992593.0,108.7,86.7,9.8,Basseterre,71.3,,3.33,English,56.6,2.52,52823.0,,18.5,49.7,,"16,269",Saint Kitts and Nevis,17.357822,-62.782998,America
146,2122450630.0,102.6,14.1,14.9,Castries,76.1,117.0,,English,48.4,0.64,182790.0,67.1,18.2,34.7,20.71,"34,280",Saint Lucia,13.909444,-60.978893,America
147,825385185.0,113.4,23.7,14.8,Calliaqua,72.4,68.0,1.16,English,21.4,0.66,100455.0,65.9,25.4,37.0,18.88,"58,185",Saint Vincent and the Grenadines,12.984305,-61.287228,America
148,850655017.0,110.5,7.6,13.6,Apia,73.2,43.0,0.78,Samoan,11.5,0.34,202506.0,43.7,25.5,19.3,8.36,"35,588",Samoa,-13.759029,-172.104629,Oceania
149,1637931034.0,108.1,42.5,1.7,City of San Marino,85.4,,,Italian,18.3,6.11,33860.0,,18.1,36.2,,"32,969",San Marino,43.94236,12.457777,Europa
150,429016605.0,106.8,13.4,24.4,S����,70.2,130.0,,,11.7,0.05,215056.0,57.8,14.6,37.0,13.37,"158,277",S�����������,,,Oceania
151,792966838162.0,99.8,68.0,6.0,Riyadh,75.0,17.0,3.85,Arabic,15.0,2.61,34268528.0,55.9,8.9,15.7,5.93,"28,807,838",Saudi Arabia,23.885942,45.079162,Asia
152,23578084052.0,81.0,12.8,31.8,Pikine,67.7,315.0,0.31,French,44.2,0.07,16296364.0,45.7,16.3,44.8,6.6,"7,765,706",Senegal,14.497401,-14.452362,Asia
